Entity,Code,Year,Mismanaged plastic waste to ocean per capita (kg per year),"GDP per capita, PPP (constant 2021 international $)",World regions according to OWID
Albania,ALB,2019,0.543214162,15078.507,Europe
Algeria,DZA,2019,0.134113767,15199.199,Africa
Angola,AGO,2019,0.027022781,8274.543,Africa
Antigua and Barbuda,ATG,2019,0.020618557,29651.863,North America
Argentina,ARG,2019,0.09238293,26629.553,South America
Australia,AUS,2019,0.00126969,57837.062,Oceania
Bahamas,BHS,2019,0.051413882,33202.355,North America
Bahrain,BHR,2019,0,56749.96,Asia
Bangladesh,BGD,2019,0.151122996,6838.326,Asia
Barbados,BRB,2019,0.156794425,18572.51,North America
Belgium,BEL,2019,0.002946529,60506.66,Europe
Belize,BLZ,2019,0.958974359,11803.088,North America
Benin,BEN,2019,0.138886535,3281.1047,Africa
Bosnia and Herzegovina,BIH,2019,0.001817631,17028.643,Europe
Brazil,BRA,2019,0.179099739,18018.621,South America
Brunei,BRN,2019,0.309468822,80228.16,Asia
Bulgaria,BGR,2019,0.001,29199.834,Europe
Burkina Faso,BFA,2019,0,2391.5364,Africa
Cambodia,KHM,2019,0.067507733,6448.885,Asia
Cameroon,CMR,2019,0.412389859,4882.3555,Africa
Canada,CAN,2019,0.006361765,57583.848,North America
Cape Verde,CPV,2019,0,9111.63,Africa
Chile,CHL,2019,0.016990291,28218.535,South America
China,CHN,2019,0.049314957,18820.514,Asia
Colombia,COL,2019,0.00856195,17336.771,South America
Comoros,COM,2019,0,3357.898,Africa
Congo,COG,2019,0.125627207,6939.369,Africa
Costa Rica,CRI,2019,0.089144216,23364.783,North America
Cote d'Ivoire,CIV,2019,0.186024808,5894.879,Africa
Croatia,HRV,2019,0.054237288,35123.49,Europe
Cyprus,CYP,2019,0.002502085,46195.594,Europe
Democratic Republic of Congo,COD,2019,0.004839211,1296.9476,Africa
Denmark,DNK,2019,0.001559252,66580.19,Europe
Djibouti,DJI,2019,0.004106776,5809.3047,Africa
Dominica,DMA,2019,0.736111111,17619.434,North America
Dominican Republic,DOM,2019,0.584411956,21451.287,North America
East Timor,TLS,2019,0.552977572,5096.4517,Asia
Ecuador,ECU,2019,0.065385058,13870.489,South America
Egypt,EGY,2019,0.024614496,15026.568,Africa
El Salvador,SLV,2019,0.125193678,10543.938,North America
Equatorial Guinea,GNQ,2019,0.298672566,18446.592,Africa
Estonia,EST,2019,0.009049774,42652.535,Europe
Fiji,FJI,2019,0.41011236,13567.474,Oceania
Finland,FIN,2019,0,56922.49,Europe
France,FRA,2019,0.003608168,53448.555,Europe
Gabon,GAB,2019,0.20478601,19491.406,Africa
Gambia,GMB,2019,0.179301533,2750.8213,Africa
Georgia,GEO,2019,0.000750563,18186.88,Asia
Germany,DEU,2019,0.001604464,62970.715,Europe
Ghana,GHA,2019,0.13758301,6508.2466,Africa
Greece,GRC,2019,0.020624463,33502.75,Europe
Grenada,GRD,2019,1.160714286,17047.355,North America
Guatemala,GTM,2019,0.406234003,11466.376,North America
Guinea,GIN,2019,0.183775742,3557.4624,Africa
Guinea-Bissau,GNB,2019,0.128578865,2418.104,Africa
Guyana,GUY,2019,1.591315453,13402.422,South America
Haiti,HTI,2019,0.615200213,3381.5847,North America
Honduras,HND,2019,0.249948697,6264.019,North America
Hong Kong,HKG,2019,0.015061861,65388.332,Asia
Iceland,ISL,2019,0,65122.754,Europe
India,IND,2019,0.092587331,7930.0913,Asia
Indonesia,IDN,2019,0.208158135,12757.785,Asia
Iran,IRN,2019,0.01119232,14040.665,Asia
Iraq,IRQ,2019,0.001704401,14910.225,Asia
Ireland,IRL,2019,0.02355592,96369.65,Europe
Israel,ISR,2019,0.003873694,44580.81,Asia
Italy,ITA,2019,0.006837325,49690.63,Europe
Jamaica,JAM,2019,0.791723202,10216.065,North America
Japan,JPN,2019,0.014464764,44730.91,Asia
Jordan,JOR,2019,0.000099,9288.527,Asia
Kazakhstan,KAZ,2019,0.000700771,33298.21,Asia
Kenya,KEN,2019,0.004926389,5171.7124,Africa
Kiribati,KIR,2019,0,2927.4849,Oceania
Kuwait,KWT,2019,0.001663894,51380.645,Asia
Latvia,LVA,2019,0.004719455,35208.195,Europe
Lebanon,LBN,2019,0.099766628,15659.566,Asia
Lesotho,LSO,2019,0,2773.2864,Africa
Liberia,LBR,2019,0.534332591,1575.7666,Africa
Libya,LBY,2019,0.129703409,14333.423,Africa
Lithuania,LTU,2019,0.002536232,43062.324,Europe
Madagascar,MDG,2019,0.028736698,1707.8315,Africa
Malaysia,MYS,2019,2.287887324,31300.508,Asia
Maldives,MDV,2019,0,21855.502,Asia
Malta,MLT,2019,0,53342.215,Europe
Marshall Islands,MHL,2019,0,6405.0757,Oceania
Mauritania,MRT,2019,0.028060097,6162.2104,Africa
Mauritius,MUS,2019,0,25739.355,Africa
Mexico,MEX,2019,0.027528689,21704.186,North America
Montenegro,MNE,2019,0,24835.375,Europe
Morocco,MAR,2019,0.049352928,8768.176,Africa
Mozambique,MOZ,2019,0.08377791,1528.8899,Africa
Myanmar,MMR,2019,0.047071885,6562.989,Asia
Namibia,NAM,2019,0.000801603,10813.305,Africa
Netherlands,NLD,2019,0.015850734,67847.85,Europe
New Zealand,NZL,2019,0.014217019,47277.664,Oceania
Nicaragua,NIC,2019,0.223800794,6756.5938,North America
Nigeria,NGA,2019,0.092752931,5628.1777,Africa
Norway,NOR,2019,0,87725.73,Europe
Oman,OMN,2019,0.000201005,38292.387,Asia
Pakistan,PAK,2019,0.004031122,5295.953,Asia
Palau,PLW,2019,0.388888889,19312.791,Oceania
Palestine,PSE,2019,0.023690022,6269.891,Asia
Panama,PAN,2019,1.233396138,33163.727,North America
Papua New Guinea,PNG,2019,0.348564266,4301.6113,Oceania
Peru,PER,2019,0.007966779,15463.543,South America
Philippines,PHL,2019,3.296160641,9452.294,Asia
Poland,POL,2019,0.000765414,38181.62,Europe
Portugal,PRT,2019,0.007432036,40188.285,Europe
Puerto Rico,PRI,2019,0.024207296,41656.33,North America
Qatar,QAT,2019,0,113160.98,Asia
Romania,ROU,2019,0.004131164,36633.363,Europe
Russia,RUS,2019,0.003715586,37319.32,Europe
Saint Kitts and Nevis,KNA,2019,0.018867925,31512.193,North America
Saint Lucia,LCA,2019,2.453551913,22738.248,North America
Saint Vincent and the Grenadines,VCT,2019,0.72972973,16365.325,North America
Samoa,WSM,2019,0,7033.521,Oceania
Sao Tome and Principe,STP,2019,0.358139535,5702.0835,Africa
Saudi Arabia,SAU,2019,0.0000875,62647.715,Asia
Senegal,SEN,2019,0.010370643,4070.6123,Africa
Seychelles,SYC,2019,0,34346.07,Africa
Sierra Leone,SLE,2019,0.463842314,2855.229,Africa
Singapore,SGP,2019,0.028256375,120114.13,Asia
Slovakia,SVK,2019,0,37194.137,Europe
Slovenia,SVN,2019,0.005291005,44580.777,Europe
Solomon Islands,SLB,2019,0.149253731,2661.5999,Oceania
Somalia,SOM,2019,0.000129509,1491.1075,Africa
South Africa,ZAF,2019,0.072850849,14370.238,Africa
South Korea,KOR,2019,0.007554905,46757.26,Asia
Spain,ESP,2019,0.005028136,46896.418,Europe
Sri Lanka,LKA,2019,0.452729319,14637.444,Asia
Sudan,SDN,2019,0.002475883,3625.5232,Africa
Suriname,SUR,2019,2.886402754,22966.74,South America
Sweden,SWE,2019,0.003587086,61232.484,Europe
Syria,SYR,2019,0.002577622,4825.4062,Asia
Tanzania,TZA,2019,0.099732782,3484.6326,Africa
Thailand,THA,2019,0.327550053,21277.84,Asia
Togo,TGO,2019,0.053947043,2501.0308,Africa
Tonga,TON,2019,0,6875.0254,Oceania
Trinidad and Tobago,TTO,2019,2.549820789,33793.707,North America
Tunisia,TUN,2019,0.058828559,13249.224,Africa
Turkey,TUR,2019,0.171748771,28132.053,Asia
Ukraine,UKR,2019,0.01952539,17636.555,Europe
United Arab Emirates,ARE,2019,0.001432811,68887.84,Asia
United Kingdom,GBR,2019,0.010410188,52645.543,Europe
United States,USA,2019,0.007387598,69112.6,North America
Uruguay,URY,2019,0.288272675,30010.574,South America
Vietnam,VNM,2019,0.292560801,11628.614,Asia
World,OWID_WRL,2019,0.126980239,19424.516,
Zimbabwe,ZWE,2019,0,3294.804,Africa
